rating,content,review_date
5,"These are simply the best shoes of all time, everyone atleast needs one pair of the timeless classics. They are insanely comfortable and can be worn for hours on end of any occasion. I have many other pairs of nike products and these are by far the best I've had. They go with everything and anything.

These are a must have.",19 Νοε 2022
4,An iconic pair,17 Νοε 2022
5,I like the shoes because they are comfortable and they look cool.,16 Νοε 2022
5,Best shoes ever.,16 Νοε 2022
1,best shoe ever but i need size mens 19s,7 Νοε 2022
3,Good shoe,27 Οκτ 2022
5,The best shoes ever,27 Οκτ 2022
5,Best teenager shoes in white,19 Οκτ 2022
5,"i didn't think that i would like these shoes but once i put them on with a fresh fit, boy do they look good. best investment i've made in a while",17 Οκτ 2022
5,good.,25 Σεπ 2022
5,its so comfortable so nice on the feet and so beautiful shoe it goes with everything but for me personally i would like the other tongue the soft one not this one with leather,23 Σεπ 2022
5,"Can never go wrong with a fresh pair of air forces. I would recommend purchasing the crease protector, true air force 1 heads know what I'm talking about.",16 Σεπ 2022
4,"Great pair of shoes, af1 never disappoints.
Highly recommended",12 Σεπ 2022
5,"Good shoe, used for almost 2 years and want new ones again",9 Σεπ 2022
1,breaks too fast have had 2 pairs both broke after 2-3 months,8 Σεπ 2022
5,"The shoes are awesome, I keep getting them and they are very comfortable and fit perfectly. I would recommend them",28 Αυγ 2022
5,simple pair that goes with any book in 2 perfect days,24 Αυγ 2022
5,"The shoe is perfect I received it on time, it is very comfortable of course since it is new on the first try it is a bit complicated to get in.",22 Αυγ 2022
1,"I bought 2 pairs of these shoes at the same time: 1x white leather size. 44 and 1x black leather Gr. 44. Both pairs show severe wear after a short time, i.e. holes in the inner lining in the heel area, although they were not worn very often. To be honest, I have never experienced such rapid wear and tear in branded sports shoes.",22 Αυγ 2022
5,good shoe,19 Αυγ 2022
5,"been a fan of air force. own like 5 pairs, stylish.",19 Αυγ 2022
5,They look really clean and are really nice to walk in,12 Αυγ 2022
5,I NEED TO GIVE SOME POINTS,4 Αυγ 2022
5,Everything great,21 Ιουλ 2022
4,"My son loved designing his own shoe and was really happy with the way it came out. His only issue was the creases on the left shoe. He's always been extremely careful to prevent creases in his Air Forces so he was disappointed to see them already in his new shoe! I hope they hold up as well as the regular ones. Overall, he loves it though.",21 Ιουλ 2022
1,The show was too bulky and it creased too much,18 Ιουλ 2022
5,"At first like every new shoe it's a bit hard to fit your foot in the pair, when my foot finally went in it was extremely comfortable inside I was shocked I thought my foot wasn't going to fit.
Size 42
White shoes
They are beautiful, they must go with all styles of clothing",18 Ιουλ 2022
5,kozak,9 Ιουλ 2022
5,top kick,9 Ιουλ 2022
5,I can't tell you how many pairs I have had of the triple white ones. They are timeless and can be combined with almost any style.,5 Ιουλ 2022
1,I've worn the shoes 4 times and it's already ripping on both. Low quality,1 Ιουλ 2022
5,This is a great shoe that you can match with sweats or jeans. 5 stars!!!,28 Ιουν 2022
5,"Great, stylish shoe that goes with any outfit. Hard to get in popular sizes, but if you check every morning when you wake up, you will eventually get a pair.",26 Ιουν 2022
5,All hands down the best shoe ever,23 Ιουν 2022
5,"According to the size chart, I'm actually US 9.5 and wear other shoes in this size, but I got the AF1 in a 9 and they fit perfectly in terms of length. Despite being half a size smaller, they sit relatively loose. Believe me, if you have ""normal"" feet, definitely take half a size smaller.
But the shoe looks very cool.",11 Ιουν 2022
1,"The ones made in India is just uncomfortable to wear. Not the same quality as the made in Vietnam I had before. Edges are rough, I have several pressure points in my feet. The tongue digs into my feet and the inside also. Waste of money",4 Ιουν 2022
5,"Excellent, comfortable and super beautiful pair of shoes. Free delivery and above all extremely fast. Complicated to have at its size, but once possessed we do not regret this pair.",31 Μαΐ 2022
5,"Very good, but already have kinks and leather tears that you can't see either.",29 Μαΐ 2022
5,"I love these, but they definitely run big. I wear a 9 in almost every Nike I have, and I had to get these in an 8. Hopefully this helps someone.",27 Μαΐ 2022
5,"I can’t tell you how many times I’ve bought a pair of AF1’s, but I can tell you each pair has been the best sneaker I’ve ever bought. Doesn’t matter the silhouette, color, or year, since about ‘97, the AF1 has been a staple in my closet.",27 Μαΐ 2022
5,"Super comfortable, last forever, easy to clean. Just perfect.",23 Μαΐ 2022
5,Please back to size 43,22 Μαΐ 2022
3,Love the look and feel. Hate the outsole durability. A hole has developed in the heel after only 3 months of use.,11 Μαΐ 2022
5,ON PROBJ BEAUTIFUL STI SCARP,10 Μαΐ 2022
5,"Great Quality and extremely fast shipping.
Very satisfied!",9 Μαΐ 2022
5,100% true to size. I was going to downsize half a size because of all the reviews I read but thank god I didn't because it is true to size. I think if I'd choose the second best fit it would be the half a size UP lol,7 Μαΐ 2022
5,"Just as I expected. Reliable comfort, and still cool. I was very impressed by the quality, all seams and overlays are stitched nicely and evenly. Everything is symmetrical, and no glue visible anywhere. I love them so much, I built and ordered a custom pair. Can't wait for those to arrive. Not many leather sneaks out there anymore, please do not ever discontinue this classic model.",28 Απρ 2022
2,"a bit of a narrow toebox not wide by any stretch, half size up if you are wide the quality of the made in india marked boxes have been sub par and less than ideal with glue spots and defects throughout the shoes in the examples i had purchased",24 Απρ 2022
5,One of the best shoes. Honestly you can wear these things with about any outfit/ any color. Happy to have been purchasing Air force ones for about 10 years now.,13 Απρ 2022
3,"I do not know why. Same size, men's shoe doesn't fit at all at the heel.
Others were good, except that terrible experience.",11 Απρ 2022
5,"Runs big so I recommend getting a size under and tie them things tight. Comfortable and goes wit almost every fit. Don’t get em dirty, don’t crease them, and always clean them. Simply a HOF shoe 🤷🏾",9 Μαρ 2022
5,Size 43 white unobtainable,3 Μαρ 2022
5,GOAT. TTS. Cool and comfortable. AIR.,23 Φεβ 2022
5,I bought two pairs right away because they fit me unusually well and look good,12 Φεβ 2022
5,"I love stomping in my crispy clean white Air Force 1's
I just need to get my hands on an all-black pair!

A classic being kept alive by the G.O.A.T #Nike",10 Φεβ 2022
5,Best shoe of all time! You can wear that for a ceremony and to work out as well. I have lots of nikes and air forces fit half size up (I have 10us for air forces and 10.5us for other nikes).,9 Φεβ 2022
5,excellent shoes for every occasion. They are durable and classic,3 Φεβ 2022
5,The shoes arrived earlier than expected they are in perfect condition I’m praying they are the right size since this is a gift for valentines thanks again,3 Φεβ 2022
5,They are great,1 Φεβ 2022
5,The shipment was on time the three pair of air force ones where in great condition. Overall very happy with the purchase!,31 Ιαν 2022
5,"always had black forces and they are always nice, don't get white forces because black force is better",30 Ιαν 2022
